8451.499	4.40E-09									
8450.999	4.39E-09									
8450.499	4.40E-09									
8449.999	4.40E-09									
8449.499	4.39E-09									
8448.999	4.39E-09									
8448.499	4.39E-09									
8447.999	4.39E-09									
8447.499	4.39E-09									
8446.999	4.40E-09									
8446.499	4.40E-09									
8445.999	4.39E-09									
8445.499	4.39E-09									
8444.999	4.40E-09									
8444.499	4.39E-09									
8443.999	4.40E-09									
8443.499	4.39E-09									
8442.999	4.39E-09									
8442.499	4.39E-09									
8441.999	4.39E-09									
8441.499	4.39E-09									
8440.999	4.39E-09									
8440.499	4.39E-09									
8439.999	4.39E-09									
8439.499	4.39E-09									
8438.999	4.39E-09									
8438.499	4.39E-09									
8437.999	4.39E-09									
8437.499	4.39E-09									
8436.999	4.39E-09									
8436.499	4.39E-09									
8435.999	4.39E-09									
8435.499	4.39E-09									
8434.999	4.39E-09									
8434.499	4.39E-09									
8433.999	4.39E-09									
8433.499	4.39E-09									
8432.999	4.39E-09									
8432.499	4.39E-09									
8431.999	4.39E-09									
8431.499	4.39E-09									
8430.999	4.39E-09									
8430.499	4.39E-09									
8429.999	4.39E-09									
8429.499	4.39E-09									
8428.999	4.39E-09									
8428.499	4.39E-09									
8427.999	4.39E-09									
8427.499	4.39E-09									
8426.999	4.39E-09									
8426.499	4.39E-09									
8425.999	4.39E-09									
8425.499	4.39E-09									
8424.999	4.39E-09									
8424.499	4.39E-09									
8423.999	4.39E-09									
8423.499	4.39E-09									
8422.999	4.39E-09									
8422.499	4.39E-09									
8421.999	4.39E-09									
8421.499	4.39E-09									
8420.999	4.39E-09									
8420.499	4.39E-09									
8419.999	4.39E-09									
8419.499	4.38E-09									
8418.999	4.39E-09									
8418.499	4.39E-09									
8417.999	4.39E-09									
8417.499	4.39E-09									
8416.999	4.39E-09									
8416.499	4.39E-09									
8415.999	4.39E-09									
8415.499	4.39E-09									
8414.999	4.39E-09									
8414.499	4.38E-09									
8413.999	4.39E-09									
8413.499	4.39E-09									
8412.999	4.38E-09									
8412.499	4.38E-09									
8411.999	4.38E-09									
8411.499	4.38E-09									
8410.999	4.38E-09									
8410.499	4.38E-09									
8409.999	4.38E-09									
8409.499	4.38E-09									
8408.999	4.38E-09									
8408.499	4.38E-09									
8407.999	4.38E-09									
8407.499	4.38E-09									
8406.999	4.38E-09									
8406.499	4.38E-09									
8405.999	4.38E-09									
8405.499	4.38E-09									
8404.999	4.38E-09									
8404.499	4.38E-09									
8403.999	4.38E-09									
8403.499	4.38E-09									
8402.999	4.38E-09									
8402.499	4.38E-09									
8401.999	4.38E-09									
8401.499	4.38E-09									
8400.999	4.38E-09									
8400.499	4.38E-09									
8399.999	4.38E-09									
8399.499	4.38E-09									
8398.999	4.38E-09									
8398.499	4.38E-09									
8397.999	4.38E-09									
8397.499	4.38E-09									
8396.999	4.38E-09									
8396.499	4.38E-09									
8395.999	4.38E-09									
8395.499	4.38E-09									
8394.999	4.38E-09									
8394.499	4.38E-09									
8393.999	4.38E-09									
8393.499	4.38E-09									
8392.999	4.38E-09									
8392.499	4.38E-09									
8391.999	4.38E-09									
8391.499	4.38E-09									
8390.999	4.38E-09									
8390.499	4.38E-09									
8389.999	4.38E-09									
8389.499	4.38E-09									
8388.999	4.38E-09									
8388.499	4.38E-09									
8387.999	4.38E-09									
8387.499	4.38E-09									
8386.999	4.38E-09									
8386.499	4.38E-09									
8385.999	4.38E-09									
8385.499	4.38E-09									
8384.999	4.38E-09									
8384.499	4.38E-09									
8383.999	4.38E-09									
8383.499	4.38E-09									
8382.999	4.38E-09									
8382.499	4.38E-09									
8381.999	4.38E-09									
8381.499	4.38E-09									
8380.999	4.38E-09									
8380.499	4.38E-09									
8379.999	4.38E-09									
8379.499	4.38E-09									
8378.999	4.38E-09									
8378.499	4.38E-09									
8377.999	4.38E-09									
8377.499	4.38E-09									
8376.999	4.38E-09									
8376.499	4.38E-09									
8375.999	4.38E-09									
8375.499	4.38E-09									
8374.999	4.37E-09									
8374.499	4.37E-09									
8373.999	4.38E-09									
8373.499	4.37E-09									
8372.999	4.38E-09									
8372.499	4.38E-09									
8371.999	4.38E-09									
8371.499	4.37E-09									
8370.999	4.38E-09									
8370.499	4.38E-09									
8369.999	4.38E-09									
8369.499	4.38E-09									
8368.999	4.37E-09									
8368.499	4.37E-09									
8367.999	4.38E-09									
8367.499	4.37E-09									
8366.999	4.37E-09									
8366.499	4.38E-09									
8365.999	4.37E-09									
8365.499	4.38E-09									
8364.999	4.37E-09									
8364.499	4.37E-09									
8363.999	4.37E-09									
8363.499	4.37E-09									
8362.999	4.37E-09									
8362.499	4.37E-09									
8361.999	4.37E-09									
8361.499	4.37E-09									
8360.999	4.37E-09									
8360.499	4.37E-09									
8359.999	4.37E-09									
8359.499	4.37E-09									
8358.999	4.37E-09									
8358.499	4.37E-09									
8357.999	4.37E-09									
8357.499	4.37E-09									
8356.999	4.37E-09									
8356.499	4.37E-09									
8355.999	4.37E-09									
8355.499	4.37E-09									
8354.999	4.37E-09									
8354.499	4.37E-09									
8353.999	4.37E-09									
8353.499	4.37E-09									
8352.999	4.37E-09									
8352.499	4.37E-09									
8351.999	4.37E-09									
8351.499	4.37E-09									
8350.999	4.37E-09									
8350.499	4.37E-09									
8349.999	4.37E-09									
8349.499	4.37E-09									
8348.999	4.37E-09									
8348.499	4.37E-09									
8347.999	4.37E-09									
8347.499	4.37E-09									
8346.999	4.37E-09									
8346.499	4.37E-09									
8345.999	4.37E-09									
8345.499	4.37E-09									
8344.999	4.37E-09									
8344.499	4.37E-09									
8343.999	4.37E-09									
8343.499	4.37E-09									
8342.999	4.37E-09									
8342.499	4.37E-09									
8341.999	4.37E-09									
8341.499	4.37E-09									
8340.999	4.37E-09									
8340.499	4.37E-09									
8339.999	4.37E-09									
8339.499	4.37E-09									
8338.999	4.37E-09									
8338.499	4.37E-09									
8337.999	4.37E-09									
8337.499	4.37E-09									
8336.999	4.37E-09									
8336.499	4.37E-09									
