8342.499	3.67E-09										
8341.999	3.67E-09										
8341.499	3.66E-09										
8340.999	3.66E-09										
8340.499	3.67E-09										
8339.999	3.66E-09										
8339.499	3.67E-09										
8338.999	3.66E-09										
8338.499	3.66E-09										
8337.999	3.66E-09										
8337.499	3.66E-09										
8336.999	3.66E-09										
8336.499	3.66E-09										
8335.999	3.66E-09										
8335.499	3.66E-09										
8334.999	3.66E-09										
8334.499	3.66E-09										
8333.999	3.66E-09										
8333.499	3.66E-09										
8332.999	3.66E-09										
8332.499	3.66E-09										
8331.999	3.66E-09										
8331.499	3.66E-09										
8330.999	3.66E-09										
8330.499	3.66E-09										
8329.999	3.66E-09										
8329.499	3.66E-09										
8328.999	3.66E-09										
8328.499	3.66E-09										
8327.999	3.66E-09										
8327.499	3.66E-09										
8326.999	3.66E-09										
8326.499	3.66E-09										
8325.999	3.66E-09										
8325.499	3.66E-09										
8324.999	3.66E-09										
8324.499	3.66E-09										
8323.999	3.66E-09										
8323.499	3.66E-09										
8322.999	3.66E-09										
8322.499	3.66E-09										
8321.999	3.66E-09										
8321.499	3.66E-09										
8320.999	3.66E-09										
8320.499	3.66E-09										
8319.999	3.66E-09										
8319.499	3.66E-09										
8318.999	3.66E-09										
8318.499	3.66E-09										
8317.999	3.66E-09										
8317.499	3.66E-09										
8316.999	3.66E-09										
8316.499	3.66E-09										
8315.999	3.66E-09										
8315.499	3.66E-09										
8314.999	3.66E-09										
8314.499	3.66E-09										
8313.999	3.66E-09										
8313.499	3.66E-09										
8312.999	3.66E-09										
8312.499	3.66E-09										
8311.999	3.66E-09										
8311.499	3.66E-09										
8310.999	3.66E-09										
8310.499	3.66E-09										
8309.999	3.66E-09										
8309.499	3.66E-09										
8308.999	3.66E-09										
8308.499	3.66E-09										
8307.999	3.66E-09										
8307.499	3.66E-09										
8306.999	3.66E-09										
8306.499	3.66E-09										
8305.999	3.66E-09										
8305.499	3.66E-09										
8304.999	3.66E-09										
8304.499	3.66E-09										
8303.999	3.66E-09										
